-100 42172 -92501.7 51731.2 -1145.86
-99.99 42158.9 -92473.9 51716.1 -1145.53
-99.98 42145.9 -92446.2 51701 -1145.2
-99.97 42132.8 -92418.4 51686 -1144.88
-99.96 42119.8 -92390.6 51670.9 -1144.55
-99.95 42106.8 -92362.9 51655.8 -1144.22
-99.94 42093.8 -92335.2 51640.8 -1143.89
-99.93 42080.7 -92307.4 51625.7 -1143.56
-99.92 42067.7 -92279.7 51610.7 -1143.23
-99.91 42054.7 -92252 51595.6 -1142.9
-99.9 42041.7 -92224.3 51580.6 -1142.58
-99.89 42028.7 -92196.6 51565.5 -1142.25
-99.88 42015.7 -92168.9 51550.5 -1141.92
-99.87 42002.7 -92141.2 51535.5 -1141.59
-99.86 41989.6 -92113.5 51520.4 -1141.26
-99.85 41976.6 -92085.8 51505.4 -1140.94
-99.84 41963.6 -92058.1 51490.4 -1140.61
-99.83 41950.6 -92030.4 51475.4 -1140.28
-99.82 41937.7 -92002.7 51460.3 -1139.95
-99.81 41924.7 -91975.1 51445.3 -1139.63
-99.8 41911.7 -91947.4 51430.3 -1139.3
-99.79 41898.7 -91919.8 51415.3 -1138.97
-99.78 41885.7 -91892.1 51400.3 -1138.64
-99.77 41872.7 -91864.5 51385.3 -1138.32
-99.76 41859.7 -91836.8 51370.3 -1137.99
-99.75 41846.8 -91809.2 51355.3 -1137.66
-99.74 41833.8 -91781.6 51340.3 -1137.33
-99.73 41820.8 -91753.9 51325.3 -1137.01
-99.72 41807.9 -91726.3 51310.3 -1136.68
-99.71 41794.9 -91698.7 51295.3 -1136.35
-99.7 41781.9 -91671.1 51280.3 -1136.03
-99.69 41769 -91643.5 51265.3 -1135.7
-99.68 41756 -91615.9 51250.4 -1135.37
-99.67 41743.1 -91588.3 51235.4 -1135.05
-99.66 41730.1 -91560.7 51220.4 -1134.72
-99.65 41717.2 -91533.2 51205.4 -1134.39
-99.64 41704.2 -91505.6 51190.5 -1134.07
-99.63 41691.3 -91478 51175.5 -1133.74
-99.62 41678.3 -91450.5 51160.5 -1133.41
-99.61 41665.4 -91422.9 51145.6 -1133.09
-99.6 41652.5 -91395.4 51130.6 -1132.76
-99.59 41639.5 -91367.8 51115.7 -1132.43
-99.58 41626.6 -91340.3 51100.7 -1132.11
-99.57 41613.7 -91312.7 51085.8 -1131.78
-99.56 41600.8 -91285.2 51070.8 -1131.46
-99.55 41587.8 -91257.7 51055.9 -1131.13
-99.54 41574.9 -91230.2 51040.9 -1130.8
